,date_of_service,toc_code,rid,location,gbtt_ptd,gbtt_pta,actual_td,actual_ta,late_canc_reason,arrivalDelay,departureDelay,previousJourney,nextJourney,previousArrivalDelay,previousDepartureDelay,nextArrivalDelay,nextDepartureDelay,previousStation,nextStation,numberOfStops
3,2017-08-16,LE,201708167101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:43:00,0 days 06:40:00,0.0,-120.0,-60.0,720.0,540.0,0.0,0.0,-60.0,60.0,SMK,MNG,7
4,2017-08-16,LE,201708167101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:55:00,0 days 06:52:00,0.0,-60.0,60.0,540.0,540.0,-120.0,-60.0,-60.0,-60.0,IPS,COL,7
5,2017-08-16,LE,201708167101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:02:00,0.0,-60.0,-60.0,540.0,3180.0,-60.0,60.0,540.0000000000036,,MNG,LST,7
6,2017-08-16,LE,201708167101250,LST,,0 days 07:58:00,,0 days 08:07:00,0.0,540.0000000000036,,3180.0,,-60.0,-60.0,,,COL,,7
0,2017-08-17,LE,201708177101250,NRW,0 days 06:00:00,,0 days 06:00:00,,0.0,,0.0,,1020.0,,,0.0,60.0,,DIS,7
1,2017-08-17,LE,201708177101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:19:00,0 days 06:17:00,0.0,0.0,60.0,1020.0,660.0,,0.0,120.0,60.0,NRW,SMK,7
2,2017-08-17,LE,201708177101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:31:00,0 days 06:31:00,0.0,120.0,60.0,660.0,720.0,0.0,60.0,0.0,0.0,DIS,IPS,7
3,2017-08-17,LE,201708177101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:44:00,0 days 06:42:00,0.0,0.0,0.0,720.0,540.0,120.0,60.0,60.0,120.0,SMK,MNG,7
4,2017-08-17,LE,201708177101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:56:00,0 days 06:54:00,0.0,60.0,120.0,540.0,540.0,0.0,0.0,0.0,-60.0,IPS,COL,7
5,2017-08-17,LE,201708177101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:03:00,0.0,0.0,-60.0,540.0,3180.0,60.0,120.0,-300.0,,MNG,LST,7
6,2017-08-17,LE,201708177101250,LST,,0 days 07:58:00,,0 days 07:53:00,0.0,-300.0,,3180.0,,0.0,-60.0,,,COL,,7
0,2017-08-18,LE,201708187101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-08-18,LE,201708187101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,0.0,0.0,NRW,SMK,7
2,2017-08-18,LE,201708187101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:30:00,0 days 06:29:00,0.0,0.0,0.0,660.0,720.0,-60.0,0.0,-120.0,-60.0,DIS,IPS,7
3,2017-08-18,LE,201708187101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:43:00,0 days 06:40:00,0.0,-120.0,-60.0,720.0,540.0,0.0,0.0,60.0,120.0,SMK,MNG,7
4,2017-08-18,LE,201708187101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:56:00,0 days 06:54:00,0.0,60.0,120.0,540.0,540.0,-120.0,-60.0,120.0,60.0,IPS,COL,7
5,2017-08-18,LE,201708187101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:06:00,0 days 07:05:00,0.0,120.0,60.0,540.0,3180.0,60.0,120.0,-240.0,,MNG,LST,7
6,2017-08-18,LE,201708187101250,LST,,0 days 07:58:00,,0 days 07:54:00,0.0,-240.0,,3180.0,,120.0,60.0,,,COL,,7
0,2017-08-21,LE,201708217101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,0.0,60.0,,DIS,7
1,2017-08-21,LE,201708217101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:19:00,0 days 06:17:00,0.0,0.0,60.0,1020.0,660.0,,-60.0,60.0,60.0,NRW,SMK,7
2,2017-08-21,LE,201708217101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:31:00,0 days 06:30:00,0.0,60.0,60.0,660.0,720.0,0.0,60.0,0.0,0.0,DIS,IPS,7
3,2017-08-21,LE,201708217101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:44:00,0 days 06:42:00,0.0,0.0,0.0,720.0,540.0,60.0,60.0,0.0,60.0,SMK,MNG,7
4,2017-08-21,LE,201708217101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:55:00,0 days 06:53:00,0.0,0.0,60.0,540.0,540.0,0.0,0.0,0.0,-60.0,IPS,COL,7
5,2017-08-21,LE,201708217101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:03:00,0.0,0.0,-60.0,540.0,3180.0,0.0,60.0,-300.0,,MNG,LST,7
6,2017-08-21,LE,201708217101250,LST,,0 days 07:58:00,,0 days 07:53:00,0.0,-300.0,,3180.0,,0.0,-60.0,,,COL,,7
0,2017-08-22,LE,201708227101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-08-22,LE,201708227101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,0.0,60.0,NRW,SMK,7
2,2017-08-22,LE,201708227101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:31:00,0 days 06:29:00,0.0,0.0,60.0,660.0,720.0,-60.0,0.0,-60.0,-60.0,DIS,IPS,7
3,2017-08-22,LE,201708227101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:43:00,0 days 06:41:00,0.0,-60.0,-60.0,720.0,540.0,0.0,60.0,0.0,60.0,SMK,MNG,7
4,2017-08-22,LE,201708227101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:55:00,0 days 06:53:00,0.0,0.0,60.0,540.0,540.0,-60.0,-60.0,-60.0,-60.0,IPS,COL,7
5,2017-08-22,LE,201708227101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:02:00,0.0,-60.0,-60.0,540.0,3180.0,0.0,60.0,-120.0,,MNG,LST,7
6,2017-08-22,LE,201708227101250,LST,,0 days 07:58:00,,0 days 07:56:00,0.0,-120.0,,3180.0,,-60.0,-60.0,,,COL,,7
0,2017-08-23,LE,201708237101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-08-23,LE,201708237101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,0.0,0.0,NRW,SMK,7
2,2017-08-23,LE,201708237101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:30:00,0 days 06:29:00,0.0,0.0,0.0,660.0,720.0,-60.0,0.0,-120.0,-60.0,DIS,IPS,7
3,2017-08-23,LE,201708237101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:43:00,0 days 06:40:00,0.0,-120.0,-60.0,720.0,540.0,0.0,0.0,-60.0,0.0,SMK,MNG,7
4,2017-08-23,LE,201708237101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:54:00,0 days 06:52:00,0.0,-60.0,0.0,540.0,540.0,-120.0,-60.0,-120.0,-60.0,IPS,COL,7
5,2017-08-23,LE,201708237101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:01:00,0.0,-120.0,-60.0,540.0,3180.0,-60.0,0.0,-300.0,,MNG,LST,7
6,2017-08-23,LE,201708237101250,LST,,0 days 07:58:00,,0 days 07:53:00,0.0,-300.0,,3180.0,,-120.0,-60.0,,,COL,,7
0,2017-08-24,LE,201708247101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-08-24,LE,201708247101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,0.0,0.0,NRW,SMK,7
2,2017-08-24,LE,201708247101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:30:00,0 days 06:29:00,0.0,0.0,0.0,660.0,720.0,-60.0,0.0,-120.0,-60.0,DIS,IPS,7
3,2017-08-24,LE,201708247101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:43:00,0 days 06:40:00,0.0,-120.0,-60.0,720.0,540.0,0.0,0.0,0.0,60.0,SMK,MNG,7
4,2017-08-24,LE,201708247101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:55:00,0 days 06:53:00,0.0,0.0,60.0,540.0,540.0,-120.0,-60.0,-60.0,0.0,IPS,COL,7
5,2017-08-24,LE,201708247101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:05:00,0 days 07:02:00,0.0,-60.0,0.0,540.0,3180.0,0.0,60.0,-300.0,,MNG,LST,7
6,2017-08-24,LE,201708247101250,LST,,0 days 07:58:00,,0 days 07:53:00,0.0,-300.0,,3180.0,,-60.0,0.0,,,COL,,7
0,2017-08-25,LE,201708257101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-08-25,LE,201708257101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,0.0,-60.0,NRW,SMK,7
2,2017-08-25,LE,201708257101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:29:00,0 days 06:29:00,0.0,0.0,-60.0,660.0,720.0,-60.0,0.0,-180.0,-60.0,DIS,IPS,7
3,2017-08-25,LE,201708257101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:43:00,0 days 06:39:00,0.0,-180.0,-60.0,720.0,540.0,0.0,-60.0,-60.0,0.0,SMK,MNG,7
4,2017-08-25,LE,201708257101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:54:00,0 days 06:52:00,0.0,-60.0,0.0,540.0,540.0,-180.0,-60.0,-120.0,-60.0,IPS,COL,7
5,2017-08-25,LE,201708257101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:01:00,0.0,-120.0,-60.0,540.0,3180.0,-60.0,0.0,0.0,,MNG,LST,7
6,2017-08-25,LE,201708257101250,LST,,0 days 07:58:00,,0 days 07:58:00,0.0,0.0,,3180.0,,-120.0,-60.0,,,COL,,7
0,2017-08-29,LE,201708297101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-120.0,0.0,,DIS,7
1,2017-08-29,LE,201708297101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:15:00,0.0,-120.0,0.0,1020.0,660.0,,-60.0,0.0,-60.0,NRW,SMK,7
2,2017-08-29,LE,201708297101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:29:00,0 days 06:29:00,0.0,0.0,-60.0,660.0,720.0,-120.0,0.0,-60.0,0.0,DIS,IPS,7
3,2017-08-29,LE,201708297101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:44:00,0 days 06:41:00,0.0,-60.0,0.0,720.0,540.0,0.0,-60.0,0.0,0.0,SMK,MNG,7
4,2017-08-29,LE,201708297101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:54:00,0 days 06:53:00,0.0,0.0,0.0,540.0,540.0,-60.0,0.0,-60.0,-60.0,IPS,COL,7
5,2017-08-29,LE,201708297101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:02:00,0.0,-60.0,-60.0,540.0,3180.0,0.0,0.0,-120.0,,MNG,LST,7
6,2017-08-29,LE,201708297101250,LST,,0 days 07:58:00,,0 days 07:56:00,0.0,-120.0,,3180.0,,-60.0,-60.0,,,COL,,7
0,2017-08-30,LE,201708307101250,NRW,0 days 06:00:00,,0 days 06:00:00,,574.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,8
1,2017-08-30,LE,201708307101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,574.0,-60.0,0.0,1020.0,660.0,,0.0,60.0,60.0,NRW,SMK,8
2,2017-08-30,LE,201708307101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:31:00,0 days 06:30:00,574.0,60.0,60.0,660.0,720.0,-60.0,0.0,-60.0,-60.0,DIS,IPS,8
3,2017-08-30,LE,201708307101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:43:00,0 days 06:41:00,574.0,-60.0,-60.0,720.0,540.0,60.0,60.0,0.0,60.0,SMK,MNG,8
4,2017-08-30,LE,201708307101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:55:00,0 days 06:53:00,574.0,0.0,60.0,540.0,540.0,-60.0,-60.0,0.0,-60.0,IPS,COL,8
5,2017-08-30,LE,201708307101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:03:00,574.0,0.0,-60.0,540.0,1020.0,0.0,60.0,,,MNG,CHM,8
6,2017-08-30,LE,201708307101250,CHM,,0 days 07:22:00,,,574.0,,,1020.0,,0.0,-60.0,,,COL,LST,8
7,2017-08-30,LE,201708307101250,LST,,0 days 07:58:00,,,574.0,,,,,,,,,CHM,,8
0,2017-08-31,LE,201708317101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-08-31,LE,201708317101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,60.0,60.0,NRW,SMK,7
2,2017-08-31,LE,201708317101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:31:00,0 days 06:30:00,0.0,60.0,60.0,660.0,720.0,-60.0,0.0,-60.0,0.0,DIS,IPS,7
3,2017-08-31,LE,201708317101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:44:00,0 days 06:41:00,0.0,-60.0,0.0,720.0,540.0,60.0,60.0,0.0,60.0,SMK,MNG,7
4,2017-08-31,LE,201708317101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:55:00,0 days 06:53:00,0.0,0.0,60.0,540.0,540.0,-60.0,0.0,-60.0,-60.0,IPS,COL,7
5,2017-08-31,LE,201708317101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:02:00,0.0,-60.0,-60.0,540.0,3180.0,0.0,60.0,-180.0,,MNG,LST,7
6,2017-08-31,LE,201708317101250,LST,,0 days 07:58:00,,0 days 07:55:00,0.0,-180.0,,3180.0,,-60.0,-60.0,,,COL,,7
0,2017-09-01,LE,201709017101250,NRW,0 days 06:00:00,,0 days 06:00:00,,832.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-09-01,LE,201709017101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,832.0,-60.0,0.0,1020.0,660.0,,0.0,0.0,60.0,NRW,SMK,7
2,2017-09-01,LE,201709017101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:31:00,0 days 06:29:00,832.0,0.0,60.0,660.0,720.0,-60.0,0.0,-60.0,1140.0,DIS,IPS,7
3,2017-09-01,LE,201709017101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 07:03:00,0 days 06:41:00,832.0,-60.0,1140.0,720.0,540.0,0.0,60.0,1200.0,1260.0,SMK,MNG,7
4,2017-09-01,LE,201709017101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 07:15:00,0 days 07:13:00,832.0,1200.0,1260.0,540.0,540.0,-60.0,1140.0,1140.0,1080.0,IPS,COL,7
5,2017-09-01,LE,201709017101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:23:00,0 days 07:22:00,832.0,1140.0,1080.0,540.0,3180.0,1200.0,1260.0,1380.0000000000036,,MNG,LST,7
6,2017-09-01,LE,201709017101250,LST,,0 days 07:58:00,,0 days 08:21:00,832.0,1380.0000000000036,,3180.0,,1140.0,1080.0,,,COL,,7
0,2017-09-04,LE,201709047101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-09-04,LE,201709047101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,0.0,0.0,NRW,SMK,7
2,2017-09-04,LE,201709047101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:30:00,0 days 06:29:00,0.0,0.0,0.0,660.0,720.0,-60.0,0.0,-120.0,-60.0,DIS,IPS,7
3,2017-09-04,LE,201709047101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:43:00,0 days 06:40:00,0.0,-120.0,-60.0,720.0,540.0,0.0,0.0,0.0,0.0,SMK,MNG,7
4,2017-09-04,LE,201709047101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:54:00,0 days 06:53:00,0.0,0.0,0.0,540.0,540.0,-120.0,-60.0,-60.0,-60.0,IPS,COL,7
5,2017-09-04,LE,201709047101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:02:00,0.0,-60.0,-60.0,540.0,3180.0,0.0,0.0,-180.0,,MNG,LST,7
6,2017-09-04,LE,201709047101250,LST,,0 days 07:58:00,,0 days 07:55:00,0.0,-180.0,,3180.0,,-60.0,-60.0,,,COL,,7
0,2017-09-05,LE,201709057101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-09-05,LE,201709057101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,0.0,0.0,NRW,SMK,7
2,2017-09-05,LE,201709057101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:30:00,0 days 06:29:00,0.0,0.0,0.0,660.0,720.0,-60.0,0.0,-60.0,-60.0,DIS,IPS,7
3,2017-09-05,LE,201709057101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:43:00,0 days 06:41:00,0.0,-60.0,-60.0,720.0,540.0,0.0,0.0,0.0,0.0,SMK,MNG,7
4,2017-09-05,LE,201709057101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:54:00,0 days 06:53:00,0.0,0.0,0.0,540.0,540.0,-60.0,-60.0,-60.0,-60.0,IPS,COL,7
5,2017-09-05,LE,201709057101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:02:00,0.0,-60.0,-60.0,540.0,3180.0,0.0,0.0,-240.0,,MNG,LST,7
6,2017-09-05,LE,201709057101250,LST,,0 days 07:58:00,,0 days 07:54:00,0.0,-240.0,,3180.0,,-60.0,-60.0,,,COL,,7
0,2017-09-06,LE,201709067101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-09-06,LE,201709067101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,60.0,120.0,NRW,SMK,7
2,2017-09-06,LE,201709067101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:32:00,0 days 06:30:00,0.0,60.0,120.0,660.0,720.0,-60.0,0.0,0.0,0.0,DIS,IPS,7
3,2017-09-06,LE,201709067101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:44:00,0 days 06:42:00,0.0,0.0,0.0,720.0,540.0,60.0,120.0,60.0,120.0,SMK,MNG,7
4,2017-09-06,LE,201709067101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:56:00,0 days 06:54:00,0.0,60.0,120.0,540.0,540.0,0.0,0.0,60.0,0.0,IPS,COL,7
5,2017-09-06,LE,201709067101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:05:00,0 days 07:04:00,0.0,60.0,0.0,540.0,3180.0,60.0,120.0,-120.0,,MNG,LST,7
6,2017-09-06,LE,201709067101250,LST,,0 days 07:58:00,,0 days 07:56:00,0.0,-120.0,,3180.0,,60.0,0.0,,,COL,,7
0,2017-09-07,LE,201709077101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-09-07,LE,201709077101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,60.0,60.0,NRW,SMK,7
2,2017-09-07,LE,201709077101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:31:00,0 days 06:30:00,0.0,60.0,60.0,660.0,720.0,-60.0,0.0,-60.0,-60.0,DIS,IPS,7
3,2017-09-07,LE,201709077101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:43:00,0 days 06:41:00,0.0,-60.0,-60.0,720.0,540.0,60.0,60.0,0.0,60.0,SMK,MNG,7
4,2017-09-07,LE,201709077101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:55:00,0 days 06:53:00,0.0,0.0,60.0,540.0,540.0,-60.0,-60.0,0.0,-60.0,IPS,COL,7
5,2017-09-07,LE,201709077101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:03:00,0.0,0.0,-60.0,540.0,3180.0,0.0,60.0,-240.0,,MNG,LST,7
6,2017-09-07,LE,201709077101250,LST,,0 days 07:58:00,,0 days 07:54:00,0.0,-240.0,,3180.0,,0.0,-60.0,,,COL,,7
0,2017-09-08,LE,201709087101250,NRW,0 days 06:00:00,,0 days 06:00:00,,0.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-09-08,LE,201709087101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,0.0,0.0,60.0,NRW,SMK,7
2,2017-09-08,LE,201709087101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:31:00,0 days 06:29:00,0.0,0.0,60.0,660.0,720.0,-60.0,0.0,0.0,0.0,DIS,IPS,7
3,2017-09-08,LE,201709087101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:44:00,0 days 06:42:00,0.0,0.0,0.0,720.0,540.0,0.0,60.0,0.0,60.0,SMK,MNG,7
4,2017-09-08,LE,201709087101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:55:00,0 days 06:53:00,0.0,0.0,60.0,540.0,540.0,0.0,0.0,0.0,-60.0,IPS,COL,7
5,2017-09-08,LE,201709087101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:03:00,0.0,0.0,-60.0,540.0,3180.0,0.0,60.0,-300.0,,MNG,LST,7
6,2017-09-08,LE,201709087101250,LST,,0 days 07:58:00,,0 days 07:53:00,0.0,-300.0,,3180.0,,0.0,-60.0,,,COL,,7
0,2017-09-11,LE,201709117101250,NRW,0 days 06:00:00,,0 days 06:00:00,,0.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-09-11,LE,201709117101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,0.0,60.0,60.0,NRW,SMK,7
2,2017-09-11,LE,201709117101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:31:00,0 days 06:30:00,0.0,60.0,60.0,660.0,720.0,-60.0,0.0,-60.0,-60.0,DIS,IPS,7
3,2017-09-11,LE,201709117101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:43:00,0 days 06:41:00,0.0,-60.0,-60.0,720.0,540.0,60.0,60.0,0.0,60.0,SMK,MNG,7
4,2017-09-11,LE,201709117101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:55:00,0 days 06:53:00,0.0,0.0,60.0,540.0,540.0,-60.0,-60.0,0.0,0.0,IPS,COL,7
5,2017-09-11,LE,201709117101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:05:00,0 days 07:03:00,0.0,0.0,0.0,540.0,3180.0,0.0,60.0,660.0000000000036,,MNG,LST,7
6,2017-09-11,LE,201709117101250,LST,,0 days 07:58:00,,0 days 08:09:00,0.0,660.0000000000036,,3180.0,,0.0,0.0,,,COL,,7
0,2017-09-12,LE,201709127101250,NRW,0 days 06:00:00,,0 days 06:00:00,,0.0,,0.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-09-12,LE,201709127101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,0.0,0.0,60.0,NRW,SMK,7
2,2017-09-12,LE,201709127101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:31:00,0 days 06:29:00,0.0,0.0,60.0,660.0,720.0,-60.0,0.0,0.0,0.0,DIS,IPS,7
3,2017-09-12,LE,201709127101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:44:00,0 days 06:42:00,0.0,0.0,0.0,720.0,540.0,0.0,60.0,0.0,60.0,SMK,MNG,7
4,2017-09-12,LE,201709127101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:55:00,0 days 06:53:00,0.0,0.0,60.0,540.0,540.0,0.0,0.0,0.0,-60.0,IPS,COL,7
5,2017-09-12,LE,201709127101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:03:00,0.0,0.0,-60.0,540.0,3180.0,0.0,60.0,-300.0,,MNG,LST,7
6,2017-09-12,LE,201709127101250,LST,,0 days 07:58:00,,0 days 07:53:00,0.0,-300.0,,3180.0,,0.0,-60.0,,,COL,,7
0,2017-09-13,LE,201709137101250,NRW,0 days 06:00:00,,0 days 05:59:00,,0.0,,-60.0,,1020.0,,,-60.0,0.0,,DIS,7
1,2017-09-13,LE,201709137101250,DIS,0 days 06:18:00,0 days 06:17:00,0 days 06:18:00,0 days 06:16:00,0.0,-60.0,0.0,1020.0,660.0,,-60.0,60.0,60.0,NRW,SMK,7
2,2017-09-13,LE,201709137101250,SMK,0 days 06:30:00,0 days 06:29:00,0 days 06:31:00,0 days 06:30:00,0.0,60.0,60.0,660.0,720.0,-60.0,0.0,0.0,0.0,DIS,IPS,7
3,2017-09-13,LE,201709137101250,IPS,0 days 06:44:00,0 days 06:42:00,0 days 06:44:00,0 days 06:42:00,0.0,0.0,0.0,720.0,540.0,60.0,60.0,0.0,60.0,SMK,MNG,7
4,2017-09-13,LE,201709137101250,MNG,0 days 06:54:00,0 days 06:53:00,0 days 06:55:00,0 days 06:53:00,0.0,0.0,60.0,540.0,540.0,0.0,0.0,0.0,-60.0,IPS,COL,7
5,2017-09-13,LE,201709137101250,COL,0 days 07:05:00,0 days 07:03:00,0 days 07:04:00,0 days 07:03:00,0.0,0.0,-60.0,540.0,3180.0,0.0,60.0,-360.0,,MNG,LST,7
6,2017-09-13,LE,201709137101250,LST,,0 days 07:58:00,,0 days 07:52:00,0.0,-360.0,,3180.0,,0.0,-60.0,,,COL,,7
0,2017-09-14,LE,201709147101250,NRW,0 days 06:00:00,,0 days 06:00:00,,824.0,,0.0,,1020.0,,,60.0,120.0,,DIS,7
